#serial real imag abs
0.000000 -69.339188 -110.528610 130.477953
0.000025 9.160925 8.474626 12.479656
0.000050 -21.868118 16.801071 27.576994
0.000075 -34.105919 1.137954 34.124898
0.000100 4.700496 23.540051 24.004763
0.000125 -16.929466 7.169828 18.385137
0.000150 15.581507 31.986866 35.580093
0.000175 10.378760 -4.041929 11.138037
0.000200 -2.889825 14.838218 15.117003
0.000225 -25.424084 11.020894 27.710000
0.000250 21.270998 -28.384100 35.469881
0.000275 11.784246 -10.529957 15.803432
0.000300 1.361847 -46.146706 46.166799
0.000325 -19.090874 -11.903347 22.497803
0.000350 -18.699291 -8.803787 20.668095
0.000375 -2.263060 -14.144484 14.324380
0.000400 -31.461767 2.883760 31.593651
0.000425 -9.324606 10.369661 13.945542
0.000450 13.711018 27.529694 30.755098
0.000475 0.926700 -0.332137 0.984422
0.000500 3.796795 -53.270260 53.405397
0.000525 -20.819780 -5.213226 21.462549
0.000550 2.321899 6.370059 6.780034
0.000575 -46.095638 -17.761219 49.399077
0.000600 -6.609840 -11.516663 13.278686
0.000625 13.841343 3.195371 14.205392
0.000650 -6.891728 -41.983734 42.545621
0.000675 -1.709020 33.376537 33.420264
0.000700 4.049933 -20.690538 21.083177
0.000725 4.227213 7.031379 8.204244
0.000750 24.500448 -13.537929 27.991918
0.000775 16.715231 -3.951811 17.176023
0.000800 -20.300545 22.764412 30.501321
0.000825 9.039167 9.950996 13.443544
0.000850 7.426644 -25.274408 26.342945
0.000875 -9.421383 0.670080 9.445182
0.000900 -23.806690 -13.984024 27.609987
0.000925 -36.059414 39.379559 53.395047
0.000950 -31.842793 5.077425 32.245056
0.000975 15.299101 10.924791 18.799296
0.001000 9.804425 5.022946 11.016204
0.001025 7.688448 -18.776369 20.289511
0.001050 1.929746 14.077583 14.209232
0.001075 -4.005667 -34.182762 34.416662
0.001100 -23.460653 -33.956085 41.272484
0.001125 -23.767353 1.315706 23.803743
0.001150 -4.938399 -8.738830 10.037675
0.001175 -31.136686 40.462605 51.056004
0.001200 -12.301502 10.078508 15.902933
0.001225 -6.685499 24.752600 25.639561
0.001250 8.656646 32.812191 33.934899
0.001275 -2.310589 22.575695 22.693630
0.001300 -5.097332 16.549433 17.316654
0.001325 -8.930461 24.820469 26.378188
0.001350 26.652643 24.252224 36.035173
0.001375 38.302876 -1.857491 38.347888
0.001400 -9.247740 -13.408529 16.288319
0.001425 -30.240782 -5.538376 30.743755
0.001450 -2.721644 1.231362 2.987240
0.001475 -20.628765 -1.677595 20.696867
0.001500 -24.889559 7.463567 25.984514
0.001525 -10.388277 -0.519110 10.401239
0.001550 11.931138 9.527983 15.268743
0.001575 -18.344564 13.207554 22.604480
0.001600 1.886353 12.561039 12.701890
0.001625 15.234011 37.712791 40.673452
0.001650 -5.264643 -9.962215 11.267750
0.001675 -5.334524 -14.467145 15.419320
0.001700 -9.646358 27.213295 28.872403
0.001725 18.102016 26.029057 31.704808
0.001750 -11.988438 8.190907 14.519421
0.001775 -6.408875 -16.801517 17.982343
0.001800 17.195099 -4.439924 17.759064
0.001825 -24.059576 -5.564573 24.694690
0.001850 30.368095 -9.753278 31.895887
0.001875 -0.063665 2.164603 2.165539
0.001900 -20.393145 -8.011374 21.910328
0.001925 -7.070046 16.730476 18.162996
0.001950 -4.626935 -9.514553 10.579945
0.001975 -0.432812 20.426291 20.430875
0.002000 -0.432472 20.875158 20.879638
0.002025 -10.839439 18.485735 21.429322
0.002050 17.755915 9.338616 20.061960
0.002075 0.719798 7.664297 7.698023
0.002100 0.534230 20.598213 20.605140
0.002125 17.389954 2.434567 17.559545
0.002150 14.511377 -15.820174 21.467603
0.002175 4.063186 20.121742 20.527884
0.002200 4.863456 11.348969 12.347158
0.002225 10.573677 -10.919630 15.200031
0.002250 3.024365 6.084628 6.794813
0.002275 5.268773 12.600423 13.657621
0.002300 26.657600 21.365168 34.162818
0.002325 1.997569 33.803326 33.862295
0.002350 -1.164156 16.343834 16.385242
0.002375 3.003342 19.527836 19.757439
0.002400 1.002697 -2.791035 2.965683
0.002425 -9.037668 9.758311 13.300529
0.002450 -9.244861 33.519234 34.770770
0.002475 -25.386139 8.786678 26.863763
0.002500 -3.608300 15.012671 15.440212
0.002525 15.026884 0.002716 15.026884
0.002550 -0.310777 -17.739460 17.742182
0.002575 4.151856 19.624897 20.059275
0.002600 -30.670238 12.325075 33.054062
0.002625 2.765682 -2.605281 3.799538
0.002650 -19.939768 -8.846281 21.814010
0.002675 -4.334009 12.878910 13.588596
0.002700 -1.799829 27.945057 28.002957
0.002725 6.515268 -6.602623 9.275955
0.002750 -0.044251 23.666655 23.666696
0.002775 21.595728 1.720592 21.664162
0.002800 12.502913 27.785778 30.469202
0.002825 -22.386866 22.795511 31.950071
0.002850 12.890298 6.973424 14.655662
0.002875 -4.404029 12.568217 13.317491
0.002900 1.878573 12.103782 12.248696
0.002925 21.593243 -5.210688 22.213046
0.002950 -8.741851 8.522488 12.208717
0.002975 -9.391797 -3.871064 10.158296
0.003000 -8.251398 -0.299695 8.256839
0.003025 -3.935299 5.163351 6.492055
0.003050 8.683606 11.654438 14.533786
0.003075 13.336750 10.453737 16.945487
0.003100 4.264664 13.534235 14.190239
0.003125 25.982058 7.029031 26.916066
0.003150 29.361078 -7.874640 30.398732
0.003175 -0.081756 36.380981 36.381074
0.003200 90.388275 83.184952 122.840455
0.003225 45.111389 -16.570395 48.058459
0.003250 13.514136 6.586518 15.033765
0.003275 0.508214 13.692900 13.702328
0.003300 30.128593 -7.527453 31.054704
0.003325 -30.855158 15.408531 34.488601
