#serial real imag abs
0.000000 0.437642 2.113994 2.158819
0.000256 -0.279273 -0.577908 0.641849
0.000512 -3.697418 0.091209 3.698543
0.000768 1.645276 -3.900227 4.233049
0.001024 0.936855 -1.207088 1.527992
0.001280 -2.250056 -6.306492 6.695864
0.001536 0.209821 -1.393183 1.408895
0.001792 -1.038137 -1.575633 1.886888
0.002048 -1.032228 4.402350 4.521745
0.002304 1.234550 1.826829 2.204862
0.002560 0.532984 0.113658 0.544968
0.002816 -1.116194 -1.932250 2.231475
0.003072 1.478906 -0.678774 1.627236
0.003328 -0.122598 2.274018 2.277321
0.003584 0.429055 0.175124 0.463419
0.003840 -2.513724 3.124897 4.010460
0.004096 -2.417571 -4.639731 5.231802
0.004352 -5.032209 0.386830 5.047055
0.004608 -1.082113 -0.344429 1.135605
0.004864 -2.848276 5.159112 5.893142
0.005121 -0.775644 1.846946 2.003206
0.005377 1.259801 1.196886 1.737710
0.005633 0.890382 -0.902264 1.267620
0.005889 -2.386792 0.497234 2.438035
0.006145 -1.138417 1.456550 1.848656
0.006401 -0.585314 3.773422 3.818547
0.006657 1.810449 -1.696796 2.481298
0.006913 -3.495250 -1.744527 3.906423
0.007169 -4.533422 -1.718209 4.848109
0.007425 3.380345 -1.167857 3.576398
0.007681 0.841563 1.130324 1.409205
0.007937 -2.393092 1.520664 2.835367
0.008193 0.392652 -1.077953 1.147239
0.008448 -1.857564 1.007639 2.113263
0.008704 3.190015 0.345903 3.208714
0.008959 0.778181 2.114747 2.253379
0.009215 1.142392 -0.634400 1.306722
0.009471 0.279725 -2.977717 2.990826
0.009726 -3.140422 1.422379 3.447523
0.009982 -3.239313 -2.028731 3.822159
0.010237 -1.483607 -1.313039 1.981202
0.010493 2.195327 -0.171624 2.202025
0.010748 2.737419 0.830818 2.860721
0.011004 -2.451339 0.954032 2.630444
0.011260 2.569444 2.390284 3.509344
0.011515 -3.074646 -1.008098 3.235693
0.011771 2.708217 -2.585499 3.744228
0.012026 1.824036 -3.032898 3.539149
0.012282 -1.953793 -1.297004 2.345107
0.012538 0.427994 -1.643359 1.698177
0.012793 -0.434204 1.496074 1.557809
0.013049 0.788609 1.120628 1.370296
0.013304 1.291823 -0.614934 1.430716
0.013560 -1.709435 2.466886 3.001282
0.013815 -2.087091 -2.474530 3.237167
0.014071 -1.534657 -0.618153 1.654474
0.014327 -5.858970 3.728625 6.944795
0.014582 0.824713 -1.915303 2.085314
0.014838 3.273162 -1.255491 3.505688
0.015093 2.409028 2.618782 3.558291
0.015349 -2.417699 -0.522155 2.473442
0.015605 1.854431 0.010051 1.854458
0.015860 1.158231 -1.305836 1.745481
0.016116 -1.039407 0.655828 1.229014
0.016371 -0.189205 -2.148969 2.157282
0.016627 0.490164 -0.642007 0.807734
